6	22	102	2	0	0	0	0	4	2	92	16	7	0	0	0	0	1	80	19	8	0	0	0	15	11	32	9	2	3	9	12	0	18	134	18	5	0	0	0	1	0	134	21	5	0	1	0	1	8	134	37	5	0	7	3	3	31	134	35	3	4	4	3	0	3	33	4	3	1	128	7	4	2	50	0	3	4	134	7	12	11	73	1	4	5	71	92	23	20	85	2	0	2	30	78	5	4	35	2	10	5	61	3	15	36	43	4	11	34	134	18	18	44	45	4	5	26	134	81	14	7	18	2	12	41	134	62	
6	15	101	2	0	0	0	0	3	1	85	19	8	0	0	0	1	3	79	16	6	0	0	0	16	12	26	8	2	4	13	17	0	10	134	15	4	0	0	0	1	1	134	23	6	0	2	0	1	10	134	39	4	0	7	3	4	38	134	31	3	5	4	3	0	1	34	3	2	0	128	3	5	2	51	0	4	6	134	14	12	13	75	2	3	4	59	97	26	22	90	2	0	2	31	77	4	5	34	3	12	8	65	2	17	41	43	4	9	33	134	25	17	39	42	4	6	28	134	82	19	5	17	2	11	39	134	64	
6	10	98	2	0	0	0	0	2	0	79	22	10	0	0	0	2	4	76	13	4	0	0	0	17	13	22	7	1	5	19	23	0	5	134	13	3	0	0	0	1	1	134	26	7	0	3	1	1	12	134	41	3	0	6	3	4	45	134	25	3	6	5	3	0	0	35	2	1	0	126	1	7	3	53	0	5	7	134	23	12	14	76	2	2	3	50	99	29	25	95	3	0	2	32	75	4	6	33	3	13	11	71	2	19	43	44	4	6	31	134	33	15	35	38	5	8	32	134	81	24	3	16	1	10	35	134	67	
5	6	93	3	0	0	0	0	1	0	75	24	11	0	0	0	4	5	71	11	3	0	0	0	18	14	18	6	1	5	26	28	0	2	133	11	2	0	0	0	2	1	133	28	8	0	4	1	1	13	133	44	2	0	5	3	5	54	133	18	2	5	6	4	0	0	35	1	0	0	124	0	9	4	55	0	5	8	127	34	12	16	78	3	1	2	43	98	32	28	101	3	0	2	33	75	3	9	32	3	14	14	79	2	20	44	45	3	4	29	133	43	13	30	33	5	10	37	133	77	31	2	15	0	9	29	133	72	
5	4	88	3	0	0	0	0	0	0	71	27	12	0	0	0	6	7	66	9	1	1	0	2	18	16	16	4	1	4	34	34	0	0	133	9	1	0	0	0	2	1	133	31	8	0	5	2	1	15	133	47	2	1	5	3	6	64	133	12	2	5	7	4	0	0	35	0	0	0	122	0	10	5	58	0	6	9	112	46	13	17	81	3	0	1	40	95	34	31	106	4	1	3	34	74	4	12	31	4	15	17	88	3	21	46	45	3	3	25	133	53	11	24	30	6	11	43	133	72	40	3	14	0	8	23	129	78	
5	2	82	4	1	0	0	0	0	0	71	26	12	0	0	0	9	9	59	8	1	1	1	3	17	17	14	3	1	3	42	40	0	0	133	8	2	0	0	0	2	3	133	33	7	0	6	2	1	19	133	47	2	2	4	3	6	70	133	7	2	4	7	5	0	0	35	0	0	0	120	0	11	6	60	0	6	8	98	58	15	18	85	3	0	0	38	93	33	34	112	4	0	3	36	71	6	15	31	4	13	20	99	4	20	45	45	3	3	23	133	62	11	19	26	5	13	47	133	70	49	3	12	0	6	18	116	82	
4	2	75	7	3	0	0	0	0	0	72	22	10	0	0	0	12	11	50	10	1	2	3	6	16	17	14	2	1	3	49	45	0	0	133	11	3	0	0	0	1	4	133	32	6	0	7	3	2	25	133	45	2	3	4	3	7	71	133	5	2	3	7	5	1	0	35	0	1	1	118	1	11	8	62	0	5	7	85	68	20	20	89	3	0	1	35	92	30	35	118	6	0	2	37	67	8	20	30	4	11	23	110	6	19	43	45	3	3	22	133	67	12	14	23	4	13	47	133	69	57	3	10	0	6	15	103	85	
3	1	68	10	4	0	0	0	0	0	73	18	8	0	0	0	15	13	41	10	2	3	7	10	15	17	14	1	1	2	55	48	0	0	132	13	3	0	0	0	1	6	132	32	5	0	7	3	3	31	132	43	3	4	4	3	7	71	132	4	2	3	8	6	2	1	35	0	2	2	114	3	11	9	64	1	4	6	72	77	24	22	94	2	0	1	34	91	26	36	123	7	0	2	37	63	10	24	30	3	9	24	121	9	17	41	43	3	4	22	132	71	14	11	21	3	13	47	132	70	63	3	9	0	5	11	91	87	
2	1	63	12	5	0	0	0	0	1	72	16	6	0	0	0	18	13	34	10	2	4	11	15	14	17	13	1	0	2	59	50	1	0	131	15	4	0	1	0	1	8	131	33	4	0	6	3	4	38	131	38	3	5	5	3	7	69	131	3	2	2	8	7	3	1	35	0	2	3	109	6	10	11	66	1	3	4	60	84	28	24	99	2	0	2	34	89	22	38	128	7	0	1	36	58	11	27	30	3	7	24	131	14	16	38	40	4	5	24	131	73	18	7	20	3	13	46	131	72	64	3	7	0	5	9	81	88	
2	0	59	14	6	0	0	0	1	3	70	13	5	0	0	0	19	14	28	9	2	5	18	21	13	17	12	1	1	1	62	52	1	0	131	17	4	0	2	0	1	9	131	35	3	0	6	3	4	47	131	32	3	6	5	3	7	68	131	3	2	2	9	8	4	2	36	0	3	4	104	11	10	12	68	2	2	3	51	88	32	27	105	3	0	2	36	88	19	40	131	6	0	1	35	53	13	29	31	3	5	23	131	19	14	34	37	4	6	27	131	73	23	5	19	2	12	43	131	75	64	3	6	0	5	7	74	88	
